Player,Pitcher,T,PA,AB,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GIDP,Current Tm,Player-additional
Nick Castellanos,Yu Darvish,R,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,SDP,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=darvis001yu-&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Noah Davis,R,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=davis-000noa&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Dylan Dodd,L,3,3,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=dodd--000dyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Zach Eflin,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,TBD,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=eflin-000zac&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Zac Gallen,R,3,2,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,0,0,ARI,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gallen000zac&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Gibson,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gibson002kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Logan Gilbert,R,3,3,2,0,0,1,3,0,0,0.667,0.667,1.667,2.333,0,0,0,0,0,SEA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gilber000log&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Austin Gomber,L,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gomber000aus&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Sonny Gray,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=gray--001son&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Hunter Greene,R,3,3,2,2,0,0,0,0,1,0.667,0.667,1.333,2,0,0,0,0,0,CIN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=greene000hun&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Grant Hartwig,R,3,2,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=hartwi000gra&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Kyle Hendricks,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHC,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=hendri001kyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Sean Hjelle,R,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,SFG,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=hjelle000sea&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Tanner Houck,R,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,BOS,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=houck-000tan&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Raisel Iglesias,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,ATL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=iglesi000rai&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jake Irvin,R,3,3,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=irvin-000jak&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Cristian Javier,R,3,3,1,0,0,1,1,0,1,0.333,0.333,1.333,1.667,0,0,0,0,0,HOU,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=javier000cri&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jakob Junis,R,3,3,1,0,0,0,0,0,2,0.333,0.333,0.333,0.667,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=junis-000jak&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Merrill Kelly,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,ARI,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=kelly-003ken&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,George Kirby,R,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,1,SEA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=kirby-001geo&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Corey Kluber,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=kluber001cor&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Dean Kremer,R,3,2,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,0,0,BAL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=kremer000dea&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Joe La Sorsa,L,3,3,2,1,0,1,3,0,0,0.667,0.667,2,2.667,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lasors000joe&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Derek Law,R,3,2,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,WSN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=law---001der&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Justin Lawrence,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,COL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lawren000jus&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Dominic Leone,R,3,1,1,0,0,0,1,2,0,1,1,1,2,0,0,0,0,0,,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=leone-000dom&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Pablo López,R,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0,0,0,0,MIN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lopez-003pab&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Jordan Lyles,R,3,3,1,0,0,1,2,0,1,0.333,0.333,1.333,1.667,0,0,0,0,0,KCR,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lyles-001jor&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Lance Lynn,R,3,3,2,0,0,0,1,0,1,0.667,0.667,0.667,1.333,0,0,0,0,0,STL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=lynn--001lan&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Nick Martínez,R,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,CIN,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=martin006nic&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Scott McGough,R,3,1,0,0,0,0,1,1,1,0,0.333,0,0.333,0,1,0,0,0,ARI,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=mcgoug001sco&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Tylor Megill,R,3,3,1,1,0,0,0,0,0,0.333,0.333,0.667,1,0,0,0,0,0,NYM,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=megill000tyl&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Wade Miley,L,3,3,1,1,0,0,1,0,0,0.333,0.333,0.667,1,0,0,0,0,0,MIL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=miley-001wad&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Bobby Miller,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LAD,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=miller003bob&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,A.J. Minter,L,3,3,1,0,0,0,0,0,2,0.333,0.333,0.333,0.667,0,0,0,0,0,ATL,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=minter000ale&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Andrew Nardi,L,3,3,2,1,0,0,1,0,0,0.667,0.667,1,1.667,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=nardi-001and&year_min=2023&year_max=2023&seasons_type=forall
Nick Castellanos,Eury Pérez,R,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FLA,versus-finder.cgi?request=1&player_id1=castel002nic&player_id2=perez-003eur&year_min=2023&year_max=2023&seasons_type=forall
